CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||E21,BS62,B3416,E6696,WT21,P3421//12/21/2010 12:00:20 AM
CAD_U|CAPSM|E64|AIQ|20101221000019|A-32M|||//12/21/2010 12:00:20 AM
CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||E21,BS62,B3416,E6696,WT21,P3421//12/21/2010 12:03:24 AM
CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||BS62,B3416,E6696,WT21,P3421//12/21/2010 12:03:34 AM
CAD_U|CASLC|E21|AIQ|20101221000334|A-22A|||//12/21/2010 12:03:34 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:08:52 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:08:52 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:08:52 AM
CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||B3416,E6696,WT21,P3421//12/21/2010 12:12:14 AM
CAD_U|CASLC|BS62|AIQ|20101221001214|A-24C|||//12/21/2010 12:12:14 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:13:18 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:13:18 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/21/2010 12:13:18 AM
CAD_E|CASLU10011084|CASLU2010009838|MANUELA|20101220191837|FSC|FIRE, COMMERCIAL|-120.522641|35.157087|773 MANUELA WAY |SLO_CO|2999 BLK BRANCH MILL RD| DEAD-END|695_G_7/12_T32S_R13E_M||||B3416,WT21,P3421//12/21/2010 12:16:25 AM
CAD_U|CAAYG|E6696|OFF//12/21/2010 12:16:25 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:23:14 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:23:14 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:23:14 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:27:09 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:27:09 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/21/2010 12:27:09 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/21/2010 12:30:18 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/21/2010 12:30:18 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/21/2010 12:30:19 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/21/2010 12:30:19 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/21/2010 12:30:19 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/21/2010 12:30:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/21/2010 12:30:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/21/2010 12:30:20 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/21/2010 12:30:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/21/2010 12:30:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/21/2010 12:30:21 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/21/2010 12:30:22 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/21/2010 12:30:22 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/21/2010 12:30:22 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/21/2010 12:30:23 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/21/2010 12:30:23 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/21/2010 12:30:23 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/21/2010 12:30:25 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/21/2010 12:30:25 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/21/2010 12:30:25 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/21/2010 12:30:26 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/21/2010 12:30:26 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/21/2010 12:30:26 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/21/2010 12:30:27 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/21/2010 12:30:27 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/21/2010 12:30:28 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/21/2010 12:30:28 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/21/2010 12:30:28 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/21/2010 12:30:29 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/21/2010 12:30:29 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/21/2010 12:30:29 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/21/2010 12:30:30 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/21/2010 12:30:30 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/21/2010 12:30:30 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/21/2010 12:30:31 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/21/2010 12:30:31 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/21/2010 12:30:32 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/21/2010 12:30:32 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/21/2010 12:30:32 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/21/2010 12:30:33 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/21/2010 12:30:33 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/21/2010 12:30:33 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/21/2010 12:30:34 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/21/2010 12:30:34 AM
