CAD_E|CAPSM10011186//12/24/2010 12:03:28 AM
CAD_U|CAPSM|E63|AIQ|20101224000328|A-32L|||//12/24/2010 12:03:28 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/24/2010 12:10:16 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/24/2010 12:10:16 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/24/2010 12:10:18 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/24/2010 12:10:18 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/24/2010 12:10:18 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/24/2010 12:10:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/24/2010 12:10:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/24/2010 12:10:20 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/24/2010 12:10:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/24/2010 12:10:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/24/2010 12:10:21 AM
CAD_U|CACDF|AA430|AIQ|20101113125813|FAAB|||//12/24/2010 12:10:21 AM
CAD_U|CACDF|AA430|AIQ|20101113125813|FAAB|||//12/24/2010 12:10:21 AM
CAD_U|CAFKU|D4340|AIQ|20100707182148|FKU-1A|||//12/24/2010 12:10:22 AM
CAD_U|CAFKU|D4340|AIQ|20100707182148|FKU-1A|||//12/24/2010 12:10:22 AM
CAD_U|CAFKU|D4340|AIQ|20100707182148|FKU-1A|||//12/24/2010 12:10:22 AM
CAD_U|CAFKU|D4341|AIQ|20100802150352|FKU-1A|||//12/24/2010 12:10:23 AM
CAD_U|CAFKU|D4341|AIQ|20100802150352|FKU-1A|||//12/24/2010 12:10:23 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/24/2010 12:10:24 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/24/2010 12:10:24 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/24/2010 12:10:24 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/24/2010 12:10:25 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/24/2010 12:10:25 AM
